,,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,E2,E3,E1,E4,E5,E6,E7,E8,E9,E11,E10,E12
Burkholderiales_bacterium_g__Parasutterella,,0.119395,0.093467,0.173827,0.101272,0.124436,0.183366,0.168523,0.205237,0.162275,0.159529,0.142708,0.209284,0.279905,0.219445,0.247516,0.214155,0.238435,0.333455,0.395513,0.386352,0.343026,0.38033,0.358311,0.386388
Bacteroides_uniformis_g__Bacteroides,,0.094602,0,0.096053,0.104536,0.084155,0.078255,0.086226,0.106452,0.064634,0.061157,0.076311,0.095743,0.127317,0.162575,0.194641,0.219782,0.206764,0.205173,0.124471,0.232217,0.13068,0.14364,0.203742,0.172497
Bacteroides_caecimuris_g__Bacteroides,,0.188967,0.112299,0.113464,0.1644,0,0.155781,0.122498,0.133983,0.122783,0.103995,0.12272,0.167345,0.051162,0,0,0.08346,0,0,0,0,0,0,0,0.055794
Clostridioides_difficile_g__Clostridioides,,0,0,0.170586,0,0,0,0,0.063151,0,0,0,0,0.202149,0.200297,0.06886,0.114783,0.188616,0.332289,0.322644,0.24682,0.331107,0.219523,0.184042,0.255144
Robinsoniella_peoriensis_g__Robinsoniella,,0,0,0,0,0,0,0,0,0,0,0,0,0.083054,0.146563,0.066461,0.078722,0.070109,0.202133,0.154495,0.150885,0.204089,0.10058,0.107618,0.141963
Faecalibacterium_prausnitzii_g__Faecalibacterium,,0.094602,0.154938,0.154691,0.124069,0.124436,0.132091,0.151292,0.12878,0.135073,0.140015,0.136171,0.132095,0.127931,0.140504,0.110264,0.116854,0.105519,0.1282,0.121912,0.097897,0.109681,0.133581,0.119515,0.107192
Lachnospiraceae_bacterium_g__Lachnospiraceae,,0.2244,0.078497,0.122788,0.204332,0.100445,0.128772,0.100876,0.101475,0,0.121698,0.145927,0.157031,0,0.091039,0,0.118844,0.083367,0,0,0,0.062924,0,0,0
Helicobacter_hepaticus_g__Helicobacter,,0.082121,0.150994,0.146744,0.064395,0.144802,0.189869,0.153477,0,0.255147,0.1435,0.150467,0,0.222825,0.223244,0.276631,0.158117,0.249821,0.166209,0.205439,0.124264,0.193151,0.146232,0.174993,0.306779
Helicobacter_bilis_g__Helicobacter,,0,0.078497,0,0.184208,0.173839,0.291406,0.086226,0,0.13801,0.225529,0.25877,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorea_sp._g__Lachnoclostridium,,0.272363,0.122257,0.098494,0.23526,0.082426,0.167847,0.084834,0.164729,0.114659,0.086526,0.110151,0.240444,0.104332,0.10899,0,0,0,0,0.175822,0,0.126475,0,0,0
