Sample,PC1(26.4%),PC2(14.7%),PC3(8.46%),Group
E1,27.42315558,4.562601051,19.32362931,E
E2,19.69351821,-0.203528991,-2.637601547,E
E3,37.51612865,7.533694139,11.18471146,E
E4,14.36859315,5.680647882,11.86749366,E
E5,28.36696793,5.134118941,-4.812826243,E
E6,10.67619571,-2.570193279,7.990423269,E
E7,16.78307783,1.29218169,-1.524360332,E
E8,10.92639479,-3.3694317,9.014142871,E
E9,28.05192577,4.84853993,-13.14492671,E
E10,18.56411446,0.065552561,3.605379134,E
E11,24.0916055,4.888989771,-7.408821025,E
E12,22.7995726,4.796528774,-10.61273029,E
D1,-17.47577341,-23.96180921,2.552846238,D
D2,-18.58916987,-28.77953366,3.876520698,D
D3,-38.50682553,38.23452229,17.11901882,D
D4,-19.4139541,11.31779195,-27.21535191,D
D5,-37.56221807,36.03770291,19.31833443,D
D6,-23.25304948,-5.82487771,9.19765386,D
D7,-17.37702888,-28.50920731,4.57204406,D
D8,-15.58404494,-27.38861944,2.901323885,D
D9,-15.75775056,3.578806303,-21.14425999,D
D10,-16.87284462,13.1992668,-27.10558678,D
D11,-18.22416037,-26.4386161,4.477348537,D
D12,-20.64443035,5.874872412,-11.39440541,D
