F Butyric acid (abd),Faec prausnit (abd)
0.990907,0.094602
1.584088,0.154938
2.234051,0.154691
1.206092,0.124069
1.043734,0.124436
1.738484,0.132091
2.46033,0.151292
1.288386,0.12878
3.115037,0.135073
1.914078,0.140015
1.150164,0.136171
1.335459,0.132095
0.797586,0.110264049
1.083337,0.127931295
0.967629,0.140504444
1.070144,0.116854302
0.687211,0.10551898
0.969788,0.128199846
1.041984,0.121912095
0.501653,0.097897481
1.117915,0.109680755
0.921448,0.119514962
1.139511,0.133581347
0.850991,0.107191724
