Butyric acid (abd),Faec prausnit (abd)
0.740779,0.094602
0.938997,0.154938
1.178964,0.154691
0.859666,0.124069
0.661352,0.124436
0.779028,0.132091
0.950401,0.151292
0.745478,0.12878
1.047652,0.135073
0.827567,0.140015
0.792829,0.136171
0.787134,0.132095
0.453172,0.110264049
0.630059,0.127931295
0.518909,0.140504444
0.377031,0.116854302
0.346525,0.10551898
0.416241,0.128199846
0.784388,0.121912095
0.635949,0.097897481
0.474753,0.109680755
0.780879,0.119514962
0.677098,0.133581347
0.593027,0.107191724
